,lon,lat,coords
2123,-88.25,47.25,POINT (-88.25 47.25)
2180,-89.75,46.75,POINT (-89.75 46.75)
2181,-89.25,46.75,POINT (-89.25 46.75)
2182,-88.75,46.75,POINT (-88.75 46.75)
2183,-88.25,46.75,POINT (-88.25 46.75)
2184,-87.75,46.75,POINT (-87.75 46.75)
2189,-85.25,46.75,POINT (-85.25 46.75)
2241,-89.25,46.25,POINT (-89.25 46.25)
2242,-88.75,46.25,POINT (-88.75 46.25)
2243,-88.25,46.25,POINT (-88.25 46.25)
2244,-87.75,46.25,POINT (-87.75 46.25)
2245,-87.25,46.25,POINT (-87.25 46.25)
2246,-86.75,46.25,POINT (-86.75 46.25)
2247,-86.25,46.25,POINT (-86.25 46.25)
2248,-85.75,46.25,POINT (-85.75 46.25)
2249,-85.25,46.25,POINT (-85.25 46.25)
2250,-84.75,46.25,POINT (-84.75 46.25)
2251,-84.25,46.25,POINT (-84.25 46.25)
2304,-87.75,45.75,POINT (-87.75 45.75)
2305,-87.25,45.75,POINT (-87.25 45.75)
2310,-84.75,45.75,POINT (-84.75 45.75)
2369,-85.25,45.25,POINT (-85.25 45.25)
2370,-84.75,45.25,POINT (-84.75 45.25)
2371,-84.25,45.25,POINT (-84.25 45.25)
2372,-83.75,45.25,POINT (-83.75 45.25)
2428,-85.75,44.75,POINT (-85.75 44.75)
2429,-85.25,44.75,POINT (-85.25 44.75)
2430,-84.75,44.75,POINT (-84.75 44.75)
2431,-84.25,44.75,POINT (-84.25 44.75)
2432,-83.75,44.75,POINT (-83.75 44.75)
2487,-86.25,44.25,POINT (-86.25 44.25)
2488,-85.75,44.25,POINT (-85.75 44.25)
2489,-85.25,44.25,POINT (-85.25 44.25)
2490,-84.75,44.25,POINT (-84.75 44.25)
2491,-84.25,44.25,POINT (-84.25 44.25)
2492,-83.75,44.25,POINT (-83.75 44.25)
2547,-86.25,43.75,POINT (-86.25 43.75)
2548,-85.75,43.75,POINT (-85.75 43.75)
2549,-85.25,43.75,POINT (-85.25 43.75)
2550,-84.75,43.75,POINT (-84.75 43.75)
2551,-84.25,43.75,POINT (-84.25 43.75)
2553,-83.25,43.75,POINT (-83.25 43.75)
2554,-82.75,43.75,POINT (-82.75 43.75)
2607,-86.25,43.25,POINT (-86.25 43.25)
2608,-85.75,43.25,POINT (-85.75 43.25)
2609,-85.25,43.25,POINT (-85.25 43.25)
2610,-84.75,43.25,POINT (-84.75 43.25)
2611,-84.25,43.25,POINT (-84.25 43.25)
2612,-83.75,43.25,POINT (-83.75 43.25)
2613,-83.25,43.25,POINT (-83.25 43.25)
2614,-82.75,43.25,POINT (-82.75 43.25)
2668,-85.75,42.75,POINT (-85.75 42.75)
2669,-85.25,42.75,POINT (-85.25 42.75)
2670,-84.75,42.75,POINT (-84.75 42.75)
2671,-84.25,42.75,POINT (-84.25 42.75)
2672,-83.75,42.75,POINT (-83.75 42.75)
2673,-83.25,42.75,POINT (-83.25 42.75)
2674,-82.75,42.75,POINT (-82.75 42.75)
2727,-86.25,42.25,POINT (-86.25 42.25)
2728,-85.75,42.25,POINT (-85.75 42.25)
2729,-85.25,42.25,POINT (-85.25 42.25)
2730,-84.75,42.25,POINT (-84.75 42.25)
2731,-84.25,42.25,POINT (-84.25 42.25)
2732,-83.75,42.25,POINT (-83.75 42.25)
2733,-83.25,42.25,POINT (-83.25 42.25)
2790,-84.75,41.75,POINT (-84.75 41.75)
2791,-84.25,41.75,POINT (-84.25 41.75)
2792,-83.75,41.75,POINT (-83.75 41.75)
